match_id,date,time,stage,team_a,team_b,stadium,city,score_a,score_b,status,notes
1,2025-12-21,18:00,Match d'ouverture,Maroc,TBD,Stade d'Oujda,Oujda,,,À venir,Cérémonie d'ouverture
2,2025-12-21,21:00,Phase de groupes,TBD,TBD,Stade Prince Moulay Abdellah,Rabat,,,À venir,Groupes annoncés lors du tirage au sort
3,2025-12-22,18:00,Phase de groupes,TBD,TBD,Stade Mohammed V,Casablanca,,,À venir,
4,2025-12-22,21:00,Phase de groupes,TBD,TBD,Stade de Marrakech,Marrakech,,,À venir,
5,2025-12-23,18:00,Phase de groupes,TBD,TBD,Stade Ibn Batouta,Tanger,,,À venir,
6,2025-12-23,21:00,Phase de groupes,TBD,TBD,Stade d'Agadir,Agadir,,,À venir,
7,2026-01-12,18:00,Quart de finale 1,TBD,TBD,Stade Mohammed V,Casablanca,,,À venir,
8,2026-01-12,21:00,Quart de finale 2,TBD,TBD,Stade de Marrakech,Marrakech,,,À venir,
9,2026-01-13,18:00,Quart de finale 3,TBD,TBD,Stade Ibn Batouta,Tanger,,,À venir,
10,2026-01-13,21:00,Quart de finale 4,TBD,TBD,Stade Prince Moulay Abdellah,Rabat,,,À venir,
11,2026-01-15,21:00,Demi-finale 1,TBD,TBD,Stade Mohammed V,Casablanca,,,À venir,
12,2026-01-16,21:00,Demi-finale 2,TBD,TBD,Stade Mohammed V,Casablanca,,,À venir,
13,2026-01-18,21:00,Finale,TBD,TBD,Stade Mohammed V,Casablanca,,,À venir,Match pour le titre
