team_id,team_name,group,fifa_rank,confederation,coach,titles,qualification
1,Maroc,TBD,13,CAF,Walid Regragui,1,Pays hôte
2,Sénégal,TBD,20,CAF,Aliou Cissé,1,Qualifié
3,Égypte,TBD,36,CAF,Rui Vitória,7,Qualifié
4,Algérie,TBD,37,CAF,Djamel Belmadi,2,Qualifié
5,Nigeria,TBD,42,CAF,José Peseiro,3,Qualifié
6,Tunisie,TBD,47,CAF,Jalel Kadri,1,Qualifié
7,Cameroun,TBD,49,CAF,Rigobert Song,5,Qualifié
8,Côte d'Ivoire,TBD,52,CAF,Jean-Louis Gasset,3,Champion en titre
9,Mali,TBD,53,CAF,Éric Chelle,0,Qualifié
10,Burkina Faso,TBD,60,CAF,Hubert Velud,0,Qualifié
11,Ghana,TBD,64,CAF,Chris Hughton,4,Qualifié
12,Afrique du Sud,TBD,66,CAF,Hugo Broos,1,Qualifié
13,RD Congo,TBD,67,CAF,Sébastien Desabre,0,Qualifié
14,Guinée,TBD,77,CAF,Kaba Diawara,0,Qualifié
15,Zambie,TBD,87,CAF,Avram Grant,0,Qualifié
16,Gabon,TBD,84,CAF,Patrice Neveu,0,Qualifié
17,Angola,TBD,120,CAF,Pedro Gonçalves,0,Qualifié
18,Mozambique,TBD,108,CAF,Chiquinho Conde,0,Qualifié
19,Tanzanie,TBD,110,CAF,Adel Amrouche,0,Qualifié
20,Zimbabwe,TBD,121,CAF,Baltemar Brito,0,Qualifié
21,Ouganda,TBD,90,CAF,Paul Put,0,Qualifié
22,Bénin,TBD,96,CAF,Gernot Rohr,0,Qualifié
23,Botswana,TBD,140,CAF,Didier Gomes Da Rosa,0,Qualifié
24,Soudan,TBD,125,CAF,James Kwesi Appiah,0,Qualifié
