team_id,team_name,group,fifa_rank,confederation,coach,titles
1,Maroc,A,13,CAF,Walid Regragui,1
2,Zambie,A,88,CAF,Avram Grant,0
3,RD Congo,A,64,CAF,Sébastien Desabre,0
4,Tanzanie,A,110,CAF,Adel Amrouche,0
5,Sénégal,B,18,CAF,Aliou Cissé,1
6,Gambie,B,128,CAF,Tom Saintfiet,0
7,Cameroun,B,51,CAF,Rigobert Song,5
8,Guinée,B,79,CAF,Kaba Diawara,0
9,Égypte,C,36,CAF,Rui Vitória,7
10,Ghana,C,60,CAF,Chris Hughton,4
11,Cap-Vert,C,73,CAF,Bubista,0
12,Mozambique,C,108,CAF,Chiquinho Conde,0
13,Nigeria,D,40,CAF,José Peseiro,3
14,Guinée équatoriale,D,93,CAF,Juan Micha,0
15,Côte d'Ivoire,D,49,CAF,Jean-Louis Gasset,3
16,Guinée-Bissau,D,106,CAF,Baciro Candé,0
17,Algérie,E,37,CAF,Djamel Belmadi,2
18,Angola,E,120,CAF,Pedro Gonçalves,0
19,Burkina Faso,E,61,CAF,Hubert Velud,0
20,Mauritanie,E,102,CAF,Amir Abdou,0
21,Tunisie,F,28,CAF,Jalel Kadri,1
22,Mali,F,53,CAF,Éric Chelle,0
23,Afrique du Sud,F,66,CAF,Hugo Broos,1
24,Namibie,F,115,CAF,Collin Benjamin,0
